,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area,Longitude,Latitude
128,3,2,1,02/01/2018,3,18:00,1,40,4,2,2,0,1,-0.218683,51.57761
129,3,1,1,04/01/2018,5,08:46,6,30,1,2,2,0,1,-0.093422,51.397765
130,1,1,1,04/01/2018,5,13:40,6,30,1,4,1,0,1,0.053961,51.533045
131,3,1,1,04/01/2018,5,16:25,6,30,1,1,1,0,1,-0.35206,51.565079
132,2,1,1,04/01/2018,5,15:10,6,30,1,4,2,0,1,-0.237234,51.530859
133,2,1,2,04/01/2018,5,16:25,6,30,4,1,1,0,1,0.080604,51.53869
134,3,1,1,04/01/2018,5,07:37,3,30,1,5,2,-1,1,0.155553,51.528704
135,2,1,1,01/01/2018,2,06:30,6,30,4,1,2,0,1,-0.07034,51.61456
136,3,2,1,03/01/2018,4,14:04,9,20,1,8,1,0,1,-0.091225,51.498808
137,3,2,1,04/01/2018,5,07:05,6,30,1,5,2,0,1,-0.131971,51.474824
138,3,2,1,04/01/2018,5,19:02,6,30,4,4,1,0,1,-0.411428,51.534155
139,3,2,1,04/01/2018,5,15:05,9,30,1,1,1,0,1,-0.058574,51.653304
140,3,2,1,04/01/2018,5,17:08,6,20,4,1,1,0,1,-0.056996,51.537993
141,3,3,1,04/01/2018,5,08:10,6,30,1,2,2,0,1,0.094257,51.553375
142,3,4,1,04/01/2018,5,15:04,6,30,1,1,1,0,1,-0.057719,51.602302
143,1,2,4,04/01/2018,5,19:55,6,30,4,1,1,0,1,-0.315897,51.454228
144,3,2,1,04/01/2018,5,19:00,6,30,4,1,1,0,1,-0.165514,51.457098
145,3,2,1,04/01/2018,5,19:50,6,30,4,1,1,0,1,-0.166795,51.425104
146,3,2,1,04/01/2018,5,20:03,6,20,4,2,2,0,1,-0.074573,51.51787
147,3,2,1,04/01/2018,5,16:45,6,30,4,2,2,0,1,0.032913,51.393843
148,3,2,2,04/01/2018,5,21:48,6,30,4,2,2,0,1,-0.149643,51.475824
149,3,1,1,04/01/2018,5,22:26,6,30,4,5,2,0,1,-0.196483,51.540491
150,3,2,1,04/01/2018,5,21:38,6,30,4,2,2,0,1,-0.145307,51.469101
151,2,2,4,04/01/2018,5,22:22,3,50,4,1,2,0,1,0.066479,51.554767
152,3,2,2,05/01/2018,6,06:00,3,30,4,1,2,0,1,-0.089401,51.494192
153,3,2,1,05/01/2018,6,08:27,6,20,1,1,2,0,1,-0.206673,51.450001
154,3,2,1,05/01/2018,6,08:35,6,20,1,1,2,0,1,-0.087517,51.546049
155,3,1,1,05/01/2018,6,10:15,3,30,1,1,1,0,1,-0.319348,51.520912
156,3,2,1,05/01/2018,6,07:10,3,40,4,1,2,0,1,-0.270615,51.52506
157,3,2,1,04/01/2018,5,17:32,3,70,1,1,1,0,2,-0.481245,51.494166
158,3,2,1,05/01/2018,6,08:20,6,30,1,1,1,0,1,-0.170532,51.482806
159,3,2,1,05/01/2018,6,08:25,6,30,1,1,1,0,1,-0.173476,51.571249
160,3,2,1,04/01/2018,5,22:10,1,30,7,2,2,0,1,0.119281,51.436827
161,3,2,1,05/01/2018,6,09:15,6,30,1,1,1,0,1,0.151732,51.478233
162,3,3,1,05/01/2018,6,13:00,6,30,1,1,1,-1,1,-0.271239,51.626504
163,3,1,1,04/01/2018,5,21:35,6,30,4,2,1,0,1,-0.089087,51.63591
164,3,2,1,04/01/2018,5,21:30,6,30,4,2,2,0,1,-0.155236,51.46566
165,3,2,1,05/01/2018,6,12:45,6,30,1,1,1,0,1,-0.137014,51.481829
166,3,2,1,04/01/2018,5,20:45,6,30,4,1,1,0,1,-0.114726,51.463487
167,3,1,1,05/01/2018,6,11:55,1,30,1,1,2,2,1,0.036705,51.45331
168,3,1,1,05/01/2018,6,12:07,6,20,1,1,1,0,1,-0.150603,51.466307
169,3,2,1,05/01/2018,6,12:43,3,50,1,1,1,0,1,-0.260221,51.551884
170,3,2,1,04/01/2018,5,20:35,6,30,6,1,2,0,1,0.087716,51.602683
171,3,1,1,05/01/2018,6,14:11,6,30,1,1,1,0,1,-0.366803,51.467628
172,3,2,1,05/01/2018,6,07:31,1,20,1,1,2,0,1,-0.152746,51.427491
173,3,1,1,04/01/2018,5,17:50,6,20,4,1,1,0,1,-0.106507,51.533318
174,2,3,2,05/01/2018,6,13:58,3,30,1,1,1,0,1,-0.361244,51.510265
175,3,1,1,05/01/2018,6,16:24,6,20,4,1,1,0,1,-0.068264,51.469385
176,2,2,1,05/01/2018,6,16:32,3,40,4,1,1,0,1,-0.319772,51.532878
177,3,2,1,05/01/2018,6,14:29,6,20,1,1,1,0,1,-0.097871,51.498376
178,3,2,1,05/01/2018,6,10:20,6,30,1,1,1,0,1,-0.002948,51.580161
179,3,2,1,05/01/2018,6,17:45,3,30,7,1,1,-1,1,-0.229006,51.568234
180,3,2,1,05/01/2018,6,17:30,6,30,1,1,1,0,1,-0.383391,51.499332
181,3,2,1,04/01/2018,5,17:47,2,30,4,1,1,0,1,-0.100362,51.46964
182,3,1,1,05/01/2018,6,16:35,6,30,4,1,1,0,1,-0.091344,51.492515
183,3,2,1,05/01/2018,6,16:00,6,30,1,1,1,0,1,-0.038094,51.487949
184,3,2,1,05/01/2018,6,18:10,6,20,5,1,1,0,1,-0.042619,51.506729
185,3,1,1,05/01/2018,6,19:30,6,30,4,1,1,0,1,-0.264011,51.497805
186,2,1,1,05/01/2018,6,14:40,6,30,1,1,1,0,1,-0.213321,51.45298
187,3,1,1,05/01/2018,6,15:25,3,30,1,4,1,0,1,-0.13123,51.521125
188,3,1,1,04/01/2018,5,22:15,6,30,4,2,2,0,1,-0.190557,51.468099
189,2,1,1,05/01/2018,6,19:34,6,30,4,1,1,0,1,-0.368543,51.467292
190,3,3,1,05/01/2018,6,17:30,3,40,4,8,1,0,1,0.123822,51.531531
191,3,2,1,05/01/2018,6,19:25,3,50,4,1,1,0,1,-0.281368,51.538078
192,3,2,1,05/01/2018,6,19:00,3,50,4,1,2,0,1,-0.233949,51.600771
